"Feature"	"Description"	"Median_D"	"SD_D"	"Median_rate_loss"	"SD_rate_loss"	"Median_rate_gain"	"SD_rate_gain"	"LogLikelihood"	"AICc"	"p1_turkic"	"p1_mongolic"	"p1_tungusic"	"p1_koreanic"	"p1_japonic"
"GB401"	"Is there a class of patient-labile verbs?"	0.91	0.29	83.46	20.85	41.73	20.79	Inf	23.3	0.33	0.34	0.33	0.37	0.34
"GB402"	"Does the verb for 'see' have suppletive verb forms?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB403"	"Does the verb for 'come' have suppletive verb forms?"	-1.31	0.39	0.35	25.27	0	20.48	Inf	20.04	0.13	0.11	0.09	0.08	0.87
"GB408"	"Is there any accusative alignment of flagging?"	-0.31	0.17	0.02	24.85	0.14	20.55	-8.29	20.38	1	1	1	1	1
"GB409"	"Is there any ergative alignment of flagging?"	-0.18	1.06	0	23.93	0	19.22	Inf	13.86	0	0	0	0	0
"GB410"	"Is there any neutral alignment of flagging?"	-0.18	0.11	0.17	24.43	0.23	21.96	-27.73	59.34	0.89	0.87	0.2	0.46	0.09
"GB415"	"Is there a politeness distinction in 2nd person forms?"	0.57	0.09	2.7	25.68	1.23	23.32	-35.11	74.89	0.32	0.32	0.28	0.57	0.34
"GB421"	"Is there a preposed complementizer in complements of verbs of thinking and/or knowing?"	-0.26	0.28	0.73	26.1	0	22.69	Inf	28.15	0.83	0.2	0.15	0.07	0.17
"GB422"	"Is there a postposed complementizer in complements of verbs of thinking and/or knowing?"	-0.58	0.25	0.28	24.81	0.09	22.31	Inf	30.11	0.12	0.09	0.06	0.79	0.86
"GB430"	"Can adnominal possession be marked by a prefix on the possessor?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB431"	"Can adnominal possession be marked by a prefix on the possessed noun?"	1.06	0.56	0	24.39	0	22.19	Inf	14.97	0	0	0	0	0
"GB432"	"Can adnominal possession be marked by a suffix on the possessor?"	0.04	0.09	0.11	22.99	0.46	21.44	-24.16	51.91	0.93	0.95	0.33	0.97	0.95
"GB433"	"Can adnominal possession be marked by a suffix on the possessed noun?"	-0.9	0.16	0.07	23.32	0	19	-11.34	27.12	0.98	0.99	0.87	0.04	0.07
"GB519"	"Can mood be marked by a non-inflecting word (\"auxiliary particle\")?"	0.81	0.1	37.73	20.39	8.79	19.59	Inf	60.45	0.19	0.19	0.19	0.17	0.19
"GB520"	"Can aspect be marked by a non-inflecting word (\"auxiliary particle\")?"	1.23	0.8	0.04	23.59	0.03	20.43	Inf	24.32	0.01	0.01	0.01	0.01	0.01
"GB521"	"Can tense be marked by a non-inflecting word (\"auxiliary particle\")?"	0.95	0.28	18.17	24.47	1.3	20.46	-14.62	33.44	0.07	0.07	0.07	0.06	0.07
"GB522"	"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (\"pro-drop\" or \"null anaphora\")?"	-0.59	0.58	0.03	24.44	0	22.49	-6.89	17.92	1	1	1	1	1
"TE003"	"Is there palatal vowel harmony?"	-0.31	0.11	0.17	22.61	0.14	21.56	-27.03	57.84	0.9	0.71	0.06	0.47	0.06
"TE004"	"Is there tongue root vowel harmony?"	-0.44	0.14	0.53	23.32	0	22.04	-17.2	38.11	0.24	0.19	0.89	0.76	0.19
"TE005"	"Is there an initial velar nasal?"	-0.29	0.13	0.42	25.84	0.09	21.53	Inf	42.71	0.06	0.09	0.79	0.07	0.14
"TE006"	"Is there an initial r-?"	-0.23	0.16	0.28	22.82	0.15	20.6	-19.41	42.78	0.1	0.31	0.06	0.79	0.83
"TE007"	"Are there initial consonant clusters in native words?"	-0.29	0.17	0.67	22.44	0.09	20.94	-17.05	37.87	0.07	0.26	0.06	0.4	0.18
"TE008"	"Is there a voicing distinction in stops?"	0.15	0.12	0.2	25.2	0.67	20.97	-25.55	55.23	0.84	0.64	0.9	0.18	0.89
"TE018"	"Is there a mi-ti opposition in 1 vs. 2 SG personal pronouns?"	-0.27	0.13	0.15	22.06	0	20.87	-23.46	50.64	1	1	1	0.08	0.17
"TE019"	"Is the secondary oblique stem of personal pronouns formed with a dental nasal?"	-0.37	0.14	0.12	23.72	0	21.83	-20.98	45.65	1	1	1	0.07	0.15
"TE027"	"Can 1PL marker be augmented by a collective plural marker?"	0.6	0.1	14.02	25.77	9.34	20.72	-36.58	77.77	0.4	0.41	0.38	0.51	0.39
"TE031"	"Is there a non-initial velar nasal?"	0.14	0.09	0.22	24.55	0.42	21.03	-31.82	67.27	0.78	0.92	0.93	0.95	0.34
"TE037"	"Is there a voicing distinction in fricatives?"	0.57	0.06	5.8	26.21	8.77	23.32	-39.77	84.25	0.61	0.6	0.58	0.58	0.59
"TE038"	"Are there two separate liquid phonemes (r/l)?"	-0.53	0.13	0.13	26.11	0	22.44	-20.31	44.35	1	1	0.99	0.07	0.15
"TE039"	"Is there vowel length distinction?"	0.66	0.07	10.48	23.51	25	20.49	-34.84	74.25	0.7	0.7	0.71	0.68	0.7
"TE050"	"Do cardinal numerals require agreement on noun phrases?"	0.79	0.6	0.04	22.62	0.03	20.21	Inf	22.16	0.01	0.01	0.01	0.01	0.01
"TE052"	"Are accusative-marked objects specific while unmarked objects are non-specific?"	-0.58	0.14	0.06	24.79	0.13	22.02	-19.99	44.11	0.85	0.53	0.11	0.01	0.02
"TE053"	"Are recipient and location expressed by the same marker?"	0.23	0.08	0.3	22.9	0.57	19.76	-34.98	73.71	0.47	0.87	0.78	0.92	0.68
"TE054"	"Is there a distinction between marking of interrogation in polar and content questions?"	0.61	0.14	0.98	25.53	6.01	21.28	-17.39	39.14	0.87	0.87	0.85	0.78	0.86
"TE059"	"Are causative and passive expressed by a formally identical marker?"	0.55	0.13	15.11	20.95	2.31	21.11	-20.43	45.38	0.13	0.13	0.14	0.39	0.13
"TE066"	"Is imperative form for 2SG identical to bare verb root?"	-0.86	0.15	0	20.4	0.08	19.83	-11.22	26.78	0.85	0.91	0.06	0	0
"TE078"	"Are there three laryngeal contrasts for stops?"	-0.79	0.28	0	24.47	0.03	20.34	Inf	23.44	0	0	0	0.96	0
"TS001"	"Can numeral precede the noun?"	0.59	0.15	0.56	25.32	6.88	20.77	-14.3	32.93	0.94	0.94	0.94	0.86	0.93
"TS002"	"Can numeral follow the noun?"	0.5	0.08	9.63	24.1	2.5	19.48	-27.23	58.98	0.19	0.21	0.21	0.28	0.28
"TS003"	"Can demonstrative precede the noun?"	-4.73	1.09	0	24.25	0.11	23.49	-1.96	8	1	1	1	1	1
"TS004"	"Can demonstrative follow the noun?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TS005"	"Can adnominal possessor precede the possessed noun?"	-4.64	0.99	0	26.71	0.11	22.26	-1.96	8	1	1	1	1	1
"TS006"	"Can adnominal possessor follow the possessed noun?"	-0.66	0.14	0.1	22.86	0	20.02	-15.56	35.3	1	1	0.97	0.06	0.12
"TS007"	"Can adnominal property word precede the noun?"	-4.85	1.01	0	24.05	0.11	19.68	-1.94	8	1	1	1	1	1
"TS008"	"Can adnominal property word follow the noun?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TS009"	"Can adnominal collective universal quantifier (‘all’) precede the noun?"	1.08	0.12	7.87	25.66	22.61	21.03	-17.63	39.61	0.74	0.74	0.74	0.72	0.74
"TS010"	"Can adnominal collective universal quantifier (‘all’) follow the noun?"	0.69	0.16	1.67	24.14	0.9	21.58	-18.07	40.52	0.33	0.37	0.39	0.4	0.36
"TS079"	"Is there height vowel harmony?"	0.16	0.18	0.8	24.72	0.11	20.47	Inf	37.83	0.06	0.07	0.3	0.03	0.05
"TS080"	"Is there labial vowel harmony?"	0.04	0.1	0.31	24.5	0.18	21.63	-30.46	64.43	0.84	0.42	0.14	0.04	0.08
"TS086"	"Is the pragmatically unmarked order of SV in intransitive clauses?"	-4.98	0.77	0	24.72	0.11	20.49	-1.96	8	1	1	1	1	1
"TS087"	"Is the pragmatically unmarked order of VS in intransitive clauses?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TS088"	"Is there an aspiration distinction in stops?"	-0.41	0.14	0.53	23.76	0	21.93	-17.25	38.28	0.3	0.93	0.23	0.99	0.24
